City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
371,Tefe,BR,72.28,-3.3542,-64.7114,heavy intensity rain,Aracati Hotel
375,Nanakuli,US,76.71,21.3906,-158.1547,overcast clouds,Camp Pālehua
377,Kavaratti,IN,80.67,10.5669,72.642,clear sky,Hotels in Lakshadweep Islands
383,Santa Luzia,BR,68.9,-19.7697,-43.8514,overcast clouds,Pousada Chao Earth
387,Kulhudhuffushi,MV,81.77,6.6221,73.07,broken clouds,Haajy Guest House 1
389,Porto Novo,BJ,72.59,6.4965,2.6036,clear sky,Tour Eiffel Hotel Benin
397,Bathsheba,BB,76.05,13.2167,-59.5167,scattered clouds,Atlantis Hotel
407,The Valley,AI,76.1,18.217,-63.0578,clear sky,CeBlue Villas & Beach Resort
408,Mahina,PF,82.17,-17.5065,-149.489,broken clouds,Guest Beach Bungalow Tahiti
413,Port-Gentil,GA,79.72,-0.7193,8.7815,overcast clouds,Fengshui Residence
415,Batangafo,CF,65.68,7.3008,18.2833,few clouds,OCHA Office
416,Kalangala,UG,71.92,-0.3089,32.225,overcast clouds,Ssese Habitat Resort
418,Ngunguru,NZ,72.16,-35.6167,174.5,overcast clouds,Pacific Rendezvous Motel Resort
419,Kralendijk,BQ,75.18,12.15,-68.2667,overcast clouds,Divi Flamingo Beach Resort & Casino
420,Ko Samui,TH,79.77,9.5357,99.9357,clear sky,The Passage
421,Sechura,PE,72.81,-5.5569,-80.8222,overcast clouds,Hospedaje Costa Bella
423,Chadiza,ZM,65.57,-14.0678,32.4392,light rain,Sankhani Guest House
429,El Alto,PE,70.36,-4.2714,-81.2147,overcast clouds,Black Marlin Restaurant & Hospedaje
432,Kieta,PG,84.54,-6.2167,155.6333,light rain,Uruna Bay Retreat
442,Hirara,JP,67.26,24.8,125.2833,overcast clouds,Hotel Atoll Emerald Miyakojima
444,Hobyo,SO,78.1,5.3505,48.5268,overcast clouds,Halane Hotel and Restaurent
446,Harper,LR,78.4,4.375,-7.7169,broken clouds,Screensaver
453,Kuruman,ZA,67.44,-27.4524,23.4325,clear sky,Cornerstone Guest House
455,Luganville,VU,81.0,-15.5333,167.1667,moderate rain,The Espiritu Hotel
457,Lakatoro,VU,80.82,-16.0999,167.4164,moderate rain,Lakatoro Palm Lodge
458,Innisfail,AU,79.0,-17.5333,146.0333,overcast clouds,Moondarra Motel
459,Coahuayana,MX,69.82,18.7333,-103.6833,broken clouds,El rranchito michuacan de ocampos
461,Esperanza,DO,73.98,19.5847,-70.9849,few clouds,Cabañas Bernard - Alojamientos Turísticos
462,Port Macquarie,AU,82.36,-31.4333,152.9167,scattered clouds,Rydges Port Macquarie
464,Hoi An,VN,82.36,15.8794,108.335,clear sky,Belle Maison Hadana Hoi An managed by H&K Hospitality
465,Cooma,AU,66.11,-36.2333,149.1333,light rain,High Country Motel
467,Chikhli,IN,66.29,20.35,76.25,clear sky,Satish shete home
476,Townsville,AU,83.28,-19.25,146.8,broken clouds,Rydges Southbank Townsville
479,Tiarei,PF,82.42,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
480,Utete,TZ,74.34,-7.986,38.758,overcast clouds,River View Lodge
483,Poum,NC,82.67,-20.2333,164.0167,broken clouds,Gîte kajeon
487,Sinnamary,GF,75.02,5.3833,-52.95,scattered clouds,ALETHEIA Appartement Sinnamary
489,Dakar,SN,68.88,14.6937,-17.4441,overcast clouds,Redface Studios Meublés
491,Pasni,PK,67.24,25.2631,63.471,clear sky,Kashmiri Hotal
493,General Roca,AR,77.4,-39.0333,-67.5833,few clouds,Hotel y Casino del Río General Roca
504,Sao Joao Da Barra,BR,75.78,-21.6403,-41.0511,broken clouds,Pousada Porto De Canoas
508,Penalva,BR,71.73,-3.2942,-45.1736,moderate rain,Hotel São José
509,Yaguachi,EC,73.71,-2.1167,-79.6833,overcast clouds,ESTELA ORBE FIGUEROA
511,Olinda,BR,73.13,-8.0089,-34.8553,moderate rain,Hotel Albergue de Olinda
512,Maputo,MZ,73.08,-25.9653,32.5892,broken clouds,Pestana Rovuma
513,Les Cayes,HT,72.27,18.2,-73.75,clear sky,Villa Orphee
517,Pangai,TO,83.21,-19.8,-174.35,light rain,Ha'apai Beach Resort
520,Mahibadhoo,MV,81.36,3.7833,72.9667,broken clouds,Omadhoo Inn
521,Chateaubelair,VC,75.81,13.2833,-61.25,few clouds,Richmond Vale Diving & Hiking Center
524,Totness,SR,75.11,5.8833,-56.3167,scattered clouds,STAATS LOGEERGEBOUW TOTNESS
525,Wanning,CN,74.52,18.8003,110.3967,overcast clouds,Paradise Hotel
526,San Juan,AR,78.94,-31.5375,-68.5364,few clouds,Hotel Provincial
527,Shakawe,BW,67.41,-18.3667,21.85,overcast clouds,Ditlhapi Guest House
544,Lakes Entrance,AU,73.58,-37.8811,147.981,overcast clouds,The Esplanade Resort & Spa
553,Ouahigouya,BF,67.55,13.5828,-2.4216,clear sky,Hotel Liberte
554,Axim,GH,77.0,4.8699,-2.2405,scattered clouds,Axim Beach Resort And Spa
555,Pisco,PE,68.05,-13.7,-76.2167,clear sky,Hotel San Isidro Oficial
557,Myitkyina,MM,67.69,25.3833,97.4,clear sky,Shwe Phyu Hotel
559,Rosita,NI,70.45,13.9268,-84.4032,overcast clouds,Hospedaje Zeledón
562,Aden,YE,75.65,12.7794,45.0367,overcast clouds,Sama Emirate Hotel
568,Gambela,ET,74.84,8.25,34.5833,clear sky,Solomon Debebe Hotel
570,Road Town,VG,75.0,18.4167,-64.6167,clear sky,"ZINGARA 76ft Catamaran, full crew-all included"
573,Iraquara,BR,66.0,-12.2486,-41.6194,overcast clouds,Pousada E Restaurante MKE
576,Barra Do Garcas,BR,70.57,-15.89,-52.2567,overcast clouds,Pousada Tropical
579,Puerto Escondido,MX,76.71,15.85,-97.0667,few clouds,Aldea del Bazar Hotel and Spa
581,Korhogo,CI,70.43,9.45,-5.6333,clear sky,Hôtel Tchinbota
585,Huehuetan,MX,72.01,15.0167,-92.3667,clear sky,Plenque
588,Manakara,MG,72.75,-22.1333,48.0167,clear sky,La Residence Manakara
589,Nouakchott,MR,66.13,18.0858,-15.9785,overcast clouds,HOTEL IMAN
590,Gadwal,IN,72.16,16.2333,77.8,scattered clouds,MS RESIDENCY
591,Port Blair,IN,84.24,11.6667,92.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
593,Quang Ngai,VN,81.45,15.1167,108.8,clear sky,Central Hotel
598,Alta Floresta,BR,69.71,-9.8756,-56.0861,overcast clouds,Floresta Amazonica Hotel
600,Tezu,IN,66.2,27.9167,96.1667,clear sky,Circuit House
603,Kupang,ID,84.78,-10.1667,123.5833,broken clouds,Hotel On The Rock by Prasanthi
605,Andros Town,BS,71.56,24.7,-77.7667,overcast clouds,Hanks place
606,Mamallapuram,IN,80.65,12.6264,80.1722,broken clouds,Radisson Blu Resort Temple Bay Mamallapuram
611,Auki,SB,80.42,-8.7676,160.7034,overcast clouds,Auki Motel
613,Noumea,NC,81.0,-22.2763,166.4572,light rain,Hôtel Le Lagon
617,San Cristobal,VE,71.78,7.7669,-72.225,clear sky,Posada Villaven C.A.
618,Moron,AR,71.98,-34.6534,-58.6198,clear sky,Hotel Morón
620,La Huacana,MX,71.74,18.9667,-101.8167,clear sky,Hotel Yunuen
621,Charters Towers,AU,83.52,-20.1,146.2667,overcast clouds,Cattleman's Rest Motor Inn
624,Bahia Blanca,AR,73.45,-38.7196,-62.2724,clear sky,Hotel Argos
625,Sao Felix Do Xingu,BR,70.65,-6.6447,-51.995,overcast clouds,Rio Xingu Camping
627,Barbalha,BR,71.4,-7.3111,-39.3042,broken clouds,Sunset Apart Motel
628,Malakal,SS,67.82,9.5334,31.6605,clear sky,Nile Palace Hotel
629,Taltal,CL,65.73,-25.4,-70.4833,clear sky,Residencial Karime
630,Charagua,BO,70.7,-19.8,-63.2167,overcast clouds,Hotel
631,Tecoanapa,MX,77.94,16.5167,-98.75,clear sky,Hotel Manglares
637,Honiara,SB,84.09,-9.4333,159.95,overcast clouds,Heritage Park Hotel
638,Makakilo City,US,75.29,21.3469,-158.0858,overcast clouds,Marriott's Ko Olina Beach Club
640,Puri,IN,66.72,19.8,85.85,clear sky,OYO 1577 Hotel Shree Hari Grand
643,Maragogi,BR,76.24,-9.0122,-35.2225,light rain,Salinas do Maragogi All Inclusive Resort
647,Conakry,GN,69.37,9.538,-13.6773,clear sky,Riviera Royal Hotel
649,Pithora,IN,65.39,21.2667,82.5167,clear sky,"Government Scheduled Caste Boys Hostel, Pithora"
652,Trairi,BR,71.8,-3.2778,-39.2689,overcast clouds,janelas do mar
656,Pindorama,BR,69.85,-21.1858,-48.9072,overcast clouds,PINDORAMA GOLDEN PLAZA HOTEL
657,Puerto Ayacucho,VE,75.65,5.6639,-67.6236,broken clouds,Posada Turistica Manapiare
661,Cavalcante,BR,65.93,-13.7975,-47.4583,broken clouds,Pousada Vila dos Ipês
664,Inhambane,MZ,76.17,-23.865,35.3833,broken clouds,Oceano
666,Moyale,KE,68.52,3.5167,39.0584,scattered clouds,La Tahzan Guest House
668,Mae Sai,TH,78.44,20.4335,99.8762,clear sky,Piyaporn Hill Paradise Hotel
672,Huarmey,PE,70.38,-10.0681,-78.1522,overcast clouds,Hotel Miramar
674,Ormara,PK,67.91,25.2088,64.6357,clear sky,Crystal Beach and Camping Resort Ormara
677,Fare,PF,81.7,-16.7,-151.0167,clear sky,Maitai Lapita Village Huahine
679,Kasane,BW,69.89,-17.8167,25.15,overcast clouds,The Old House
681,Kita,ML,73.78,13.0349,-9.4895,few clouds,Hôtel Chat Rouge
684,Vanimo,PG,84.27,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
