City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,88,19,10.71,few clouds
272,Bendorf,DE,50.4333,7.5667,44.76,90,100,9.73,overcast clouds
273,Kenai,US,60.5544,-151.2583,28.45,80,100,19.57,overcast clouds
274,Pangnirtung,CA,66.1451,-65.7125,-11.56,100,100,2.82,overcast clouds
275,Half Moon Bay,US,37.4636,-122.4286,58.24,65,0,3.44,clear sky
276,Marienburg,PL,54.0359,19.0266,33.46,79,100,8.14,overcast clouds
277,Svetlogorsk,BY,52.6333,29.7333,28.11,89,100,16.2,overcast clouds
278,Zhangzhou,CN,24.5133,117.6556,61.93,68,95,3.02,overcast clouds
279,Mount Isa,AU,-20.7333,139.5,76.77,100,75,5.75,light intensity shower rain
280,Carballo,ES,43.213,-8.691,40.87,76,0,3.67,clear sky
281,Shelburne,CA,44.0787,-80.2041,-1.44,84,74,4.05,broken clouds
282,Cockburn Town,TC,21.4612,-71.1419,78.01,76,7,7.85,clear sky
283,Lipari,IT,38.4674,14.954,48.56,63,62,20.42,broken clouds
284,Sistranda,NO,63.7256,8.834,43.9,90,100,28.48,overcast clouds
285,Lhokseumawe,ID,5.1801,97.1507,84.78,68,7,3.98,clear sky
286,Anloga,GH,5.7947,0.8973,78.89,77,26,0.47,scattered clouds
287,Wana,PK,32.2989,69.5725,46.92,40,0,3.09,clear sky
288,Batagay-Alyta,RU,67.8006,130.4114,-4.5,94,98,4.32,overcast clouds
289,Port Augusta,AU,-32.5,137.7667,94.71,34,0,14.88,clear sky
290,Salvador,SV,13.8333,-88.9167,73.8,63,97,2.21,overcast clouds
291,Dodge City,US,37.7528,-100.0171,35.26,59,0,5.01,clear sky
292,Naze,JP,28.3667,129.4833,55.29,83,100,9.01,overcast clouds
293,Antalya,TR,36.7741,30.7178,37.09,69,0,5.75,clear sky
294,Port Keats,AU,-14.25,129.55,85.84,72,96,15.73,light rain
295,Conceicao Do Araguaia,BR,-8.2578,-49.2647,70.97,98,89,3.47,overcast clouds
296,Uige,AO,-7.6087,15.0613,65.25,99,100,1.86,light rain
297,Ilhabela,BR,-23.7781,-45.3581,74.21,95,100,6.71,overcast clouds
298,Maua,BR,-23.6678,-46.4614,69.1,94,100,4.34,overcast clouds
299,Lokoja,NG,7.8024,6.743,73.35,24,100,0.18,overcast clouds
300,Karratha,AU,-20.7377,116.8463,91.35,45,50,15.28,scattered clouds
301,Bukachacha,RU,52.9833,116.9167,7.2,68,4,2.62,clear sky
302,Ust-Kan,RU,50.9276,84.761,3.76,76,52,3.83,broken clouds
303,Faya,SA,18.3851,42.4509,50.52,91,36,6.55,scattered clouds
304,Yar-Sale,RU,66.8333,70.8333,-8.34,98,98,7.47,overcast clouds
305,Linjiang,CN,41.8069,126.9078,17.29,62,55,4.59,broken clouds
306,Santa Maria,BR,-29.6842,-53.8069,63.81,77,0,7.87,clear sky
307,Kampot,KH,10.6167,104.1833,84.25,58,37,3.87,scattered clouds
308,Hangzhou,CN,30.2937,120.1614,37.31,95,100,3.24,light rain
309,Isangel,VU,-19.55,169.2667,78.91,94,100,4.61,heavy intensity rain
310,Daitari,IN,21.1,85.75,64.63,38,1,1.41,clear sky
311,Tabuk,PH,17.4189,121.4443,80.06,79,100,2.21,overcast clouds
312,Azul,AR,-36.777,-59.8585,59.38,78,0,5.97,clear sky
313,Camocim,BR,-2.9022,-40.8411,73.2,86,100,6.26,overcast clouds
314,Vao,NC,-22.6667,167.4833,77.92,88,100,23.2,light rain
315,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,100,100,2.24,mist
316,Padang,ID,-0.9492,100.3543,85.77,67,88,4.68,overcast clouds
317,Sao Filipe,CV,14.8961,-24.4956,70.5,70,87,10.8,overcast clouds
318,Chancay,PE,-11.5714,-77.2672,72.32,85,100,5.82,overcast clouds
319,Lichuan,CN,30.3,108.85,33.28,90,100,1.59,light snow
320,Emba,KZ,48.8264,58.1442,8.38,95,98,2.44,overcast clouds
321,Shahr-E Kord,IR,32.3256,50.8644,23.58,54,0,3.98,clear sky
322,Portland,US,45.5234,-122.6762,41.2,68,0,1.01,clear sky
323,Kununurra,AU,-15.7667,128.7333,91.38,62,75,11.5,broken clouds
324,Fianarantsoa,MG,-21.4333,47.0833,62.04,84,0,1.01,clear sky
325,Marzuq,YE,14.4,46.4667,59.16,29,15,2.48,few clouds
326,The Pas,CA,53.8251,-101.2541,3.22,78,100,13.8,overcast clouds
327,Fortuna,US,40.5982,-124.1573,46.09,88,0,8.05,clear sky
328,Thinadhoo,MV,0.5333,72.9333,80.62,67,64,8.7,broken clouds
