City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Shelburne,CA,2022-01-27 03:09:49,44.0787,-80.2041,6.28,76,38,11.18
225,Alugan,PH,2022-01-27 03:11:07,12.2188,125.4808,82.6,73,56,13.71
226,Chitral,PK,2022-01-27 03:11:08,35.8462,71.7858,20.17,41,0,9.35
227,Makakilo City,US,2022-01-27 03:11:08,21.3469,-158.0858,77.32,56,0,9.22
228,Pevek,RU,2022-01-27 03:11:08,69.7008,170.3133,-32.01,98,32,1.86
229,Tabuk,PH,2022-01-27 03:11:09,17.4189,121.4443,76.87,88,99,3.98
230,Kotma,IN,2022-01-27 03:12:09,23.2,81.9667,51.55,59,0,2.21
231,Souillac,MU,2022-01-27 03:12:10,-20.5167,57.5167,77.36,88,40,4.61
232,Quatre Cocos,MU,2022-01-27 03:12:10,-20.2078,57.7625,77.09,72,16,11.3
233,Kholodnyy,RU,2022-01-27 03:12:10,62.7167,147.95,-28.93,98,83,1.86
234,Bolgatanga,GH,2022-01-27 03:12:11,10.7856,-0.8514,69.69,21,0,6.8
235,Naze,JP,2022-01-27 03:12:11,28.3667,129.4833,62.78,70,91,4.54
236,Dolores,AR,2022-01-27 03:12:11,-36.3132,-57.6792,56.23,69,5,11.83
237,Bilma,NE,2022-01-27 03:12:12,18.6853,12.9164,51.12,39,8,8.46
238,Naliya,IN,2022-01-27 03:12:12,23.2667,68.8333,60.3,29,5,6.42
239,Kapit,MY,2022-01-27 03:12:12,2.0167,112.9333,81.61,81,97,0.83
240,Jijiga,ET,2022-01-27 03:12:13,9.35,42.8,54.48,21,4,6.55
241,Turukhansk,RU,2022-01-27 03:10:28,65.8167,87.9833,-6.9,93,100,15.01
242,Georgetown,MY,2022-01-27 03:12:12,5.4112,100.3354,85.93,76,20,0.0
243,Maceio,BR,2022-01-27 03:11:35,-9.6658,-35.7353,78.24,88,40,3.44
244,Mercedes,AR,2022-01-27 03:12:13,-34.6515,-59.4307,62.19,62,14,14.5
245,Kuala Terengganu,MY,2022-01-27 03:12:14,5.3302,103.1408,81.63,68,32,4.61
246,Rio Grande,BR,2022-01-27 03:07:52,-32.035,-52.0986,75.31,92,100,16.02
247,Nevers,FR,2022-01-27 03:12:14,46.9167,3.3333,25.39,93,2,1.03
248,Leshukonskoye,RU,2022-01-27 03:12:15,64.8989,45.7622,-3.59,100,97,4.81
249,Malm,NO,2022-01-27 03:12:15,64.0721,11.2172,38.79,99,100,4.18
250,Kango,GA,2022-01-27 03:12:15,0.1943,10.0951,73.92,97,83,1.34
251,Montevista,PH,2022-01-27 03:12:16,7.6933,125.9889,84.02,77,70,1.05
252,Airai,TL,2022-01-27 03:12:16,-8.9266,125.4092,73.09,63,86,5.66
253,Te Kauwhata,NZ,2022-01-27 03:12:16,-37.4,175.15,85.75,35,0,7.72
254,Preston,GB,2022-01-27 03:12:17,53.7667,-2.7167,50.79,93,100,7.0
255,Baijiantan,CN,2022-01-27 03:12:17,45.6333,85.1833,6.4,94,100,1.12
256,La Libertad,EC,2022-01-27 03:12:17,-2.2333,-80.9,74.21,89,100,5.84
257,Leh,IN,2022-01-27 03:12:18,34.1667,77.5833,-7.13,87,99,3.31
258,Byron Bay,AU,2022-01-27 03:12:18,-28.65,153.6167,80.55,67,10,10.22
259,Front Royal,US,2022-01-27 03:10:00,38.9182,-78.1944,24.19,62,0,0.0
260,Lata,PT,2022-01-27 03:12:19,40.1629,-8.3327,47.05,77,71,5.17
261,Bilibino,RU,2022-01-27 03:12:19,68.0546,166.4372,-29.99,95,40,3.02
262,Tuktoyaktuk,CA,2022-01-27 03:09:36,69.4541,-133.0374,-9.69,95,95,16.69
263,Ornskoldsvik,SE,2022-01-27 03:12:19,63.2909,18.7153,14.95,100,100,3.44
264,Namatanai,PG,2022-01-27 03:12:20,-3.6667,152.4333,84.94,71,60,5.1
265,Concepcion Del Oro,MX,2022-01-27 03:12:41,24.6333,-101.4167,54.84,25,63,4.85
266,Bengkulu,ID,2022-01-27 03:12:41,-3.8004,102.2655,81.19,76,100,1.14
267,Atar,MR,2022-01-27 03:12:42,20.5169,-13.0499,62.51,51,25,9.08
268,Vardo,NO,2022-01-27 03:12:42,70.3705,31.1107,25.99,73,100,13.85
269,Hamilton,US,2022-01-27 03:12:42,39.1834,-84.5333,18.36,67,0,0.0
270,Florianopolis,BR,2022-01-27 03:07:45,-27.6146,-48.5012,78.03,87,75,1.01
271,Laela,TZ,2022-01-27 03:12:43,-8.5667,32.05,60.6,94,100,2.77
272,Kruisfontein,ZA,2022-01-27 03:12:43,-34.0033,24.7314,63.88,95,70,2.93
273,Mazatlan,MX,2022-01-27 03:10:12,23.2167,-106.4167,70.02,78,75,1.01
274,Upernavik,GL,2022-01-27 03:12:10,72.7868,-56.1549,3.56,87,100,5.46
275,Kavieng,PG,2022-01-27 03:12:44,-2.5744,150.7967,83.95,75,79,8.55
276,Oktyabrskiy,RU,2022-01-27 03:13:44,54.4815,53.471,13.06,93,100,9.66
277,Anderson,US,2022-01-27 03:13:44,34.5334,-82.6499,43.18,69,0,1.01
278,Alta Floresta,BR,2022-01-27 03:12:02,-9.8756,-56.0861,70.83,98,100,3.29
279,Port Augusta,AU,2022-01-27 03:13:45,-32.5,137.7667,100.71,29,0,6.49
280,Linxia,CN,2022-01-27 03:13:45,35.6003,103.2064,20.37,90,100,4.45
281,Markala,ML,2022-01-27 03:13:45,13.7021,-6.0659,68.7,12,45,7.9
282,Gribanovskiy,RU,2022-01-27 03:13:46,51.4579,41.9764,-1.66,100,100,2.3
283,Lagunas,PE,2022-01-27 03:13:46,-5.2269,-75.6753,73.65,91,32,1.86
284,Lichinga,MZ,2022-01-27 03:13:46,-13.3128,35.2406,64.49,100,75,11.5
285,Taitung,TW,2022-01-27 03:13:47,22.7583,121.1444,73.67,83,75,2.3
286,Hovd,MN,2022-01-27 03:13:47,48.0056,91.6419,-8.61,81,97,0.72
287,Padang,ID,2022-01-27 03:13:48,-0.9492,100.3543,83.37,66,100,0.92
288,Madingou,CG,2022-01-27 03:13:48,-4.1536,13.55,70.79,95,73,0.69
289,Pangai,TO,2022-01-27 03:13:48,-19.8,-174.35,87.91,66,20,6.91
290,Meiganga,CM,2022-01-27 03:13:49,6.5167,14.3,62.74,28,85,6.08
291,Grindavik,IS,2022-01-27 03:13:49,63.8424,-22.4338,28.87,93,0,9.22
292,Zemio,CF,2022-01-27 03:11:17,5.0314,25.1361,69.55,33,100,3.71
293,Chumikan,RU,2022-01-27 03:13:49,54.7183,135.315,-1.01,86,100,13.4
